time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	2.30671e-17	3.3816e-17	radar	81.3566	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49494	7.20802	-0.127183	-0.0118525	lidar	2.18034	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25799	0.533094	7.19318	0.122642	0.0305949	radar	10.6261	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61584	0.595355	7.20672	0.161487	0.0462102	lidar	74.6956	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85112	0.561959	6.00779	0.0257028	-0.232092	radar	81.2004	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16288	0.591374	6.00748	0.0403871	-0.17656	lidar	159.478	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37873	0.637394	5.60128	0.0568307	-0.335216	radar	185.332	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65585	0.654625	5.59885	0.0456746	-0.314196	lidar	252.103	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92231	0.648297	5.53292	-0.00171863	-0.465573	radar	267.952	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15805	0.644083	5.48862	-0.0150207	-0.431639	lidar	333.941	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44366	0.54014	5.52161	-0.163484	-0.846073	radar	308.767	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74682	0.427822	5.58921	-0.282662	-1.06942	lidar	553.023	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02752	0.51208	5.55098	-0.145668	-0.546479	radar	343.288	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30137	0.50414	5.53249	-0.138611	-0.463394	lidar	693.926	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5618	0.540503	5.4463	-0.0976927	-0.324911	radar	426.699	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75086	0.647346	5.28093	0.00314277	-0.0809993	lidar	728.629	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00292	0.646108	5.21082	-0.00503987	-0.0901787	radar	482.55	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30312	0.643075	5.26303	-0.011723	-0.0941192	lidar	1154.02	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56122	0.650543	5.28585	-0.00618556	-0.0751157	radar	536.835	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85454	0.666963	5.3205	0.00210501	-0.0551911	lidar	1380.87	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09718	0.593541	5.25196	-0.0511971	-0.136924	radar	558.119	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35246	0.707031	5.2254	0.0234821	-0.0126073	lidar	1547.82	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60309	0.738078	5.18501	0.0377147	0.00881854	radar	679.984	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85004	0.737325	5.17105	0.0322519	0.000625416	lidar	1757.6	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09346	0.72068	5.08927	0.0169196	-0.0214405	radar	738.933	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31328	0.804648	5.04138	0.0608783	0.0386099	lidar	1962.02	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60443	0.815588	5.14675	0.0599259	0.0350519	radar	939.978	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85413	0.795393	5.13819	0.0430865	0.0116357	lidar	2329.54	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.1041	0.812581	5.0819	0.0461688	0.0138441	radar	937.078	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34116	0.830974	5.06072	0.0506614	0.0186676	lidar	2608.13	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60925	0.916864	5.14976	0.0882082	0.0640763	radar	1045.99	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84622	0.976258	5.12622	0.10969	0.0861818	lidar	2945.7	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13493	1.01395	5.18408	0.117123	0.0894962	radar	1267.73	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37186	1.04835	5.1582	0.124082	0.0926936	lidar	3296.04	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65056	1.11913	5.21064	0.145624	0.112413	radar	1340.11	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92329	1.2464	5.24127	0.191622	0.159789	lidar	3915.13	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1724	1.33402	5.18412	0.218085	0.182893	radar	1405.21	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3975	1.4164	5.15322	0.240322	0.198763	lidar	4073.41	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6301	1.49928	5.06664	0.262896	0.216269	radar	1467.72	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8557	1.53404	5.03484	0.26052	0.201145	lidar	4458.11	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1207	1.58526	5.07724	0.26151	0.18942	radar	1627.31	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3992	1.63445	5.11554	0.260273	0.176239	lidar	5202.99	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6307	1.69176	5.06898	0.26695	0.17477	radar	1611.07	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8606	1.75798	5.05068	0.276236	0.175621	lidar	5390.02	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.116	1.84684	5.10809	0.291023	0.181239	radar	1844.38	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3585	1.87859	5.09069	0.281271	0.15911	lidar	5892.42	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.614	1.93986	5.13586	0.282161	0.149249	radar	1926.42	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8146	2.07293	5.10181	0.321368	0.187064	lidar	6207.6	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0808	2.1792	5.19395	0.336507	0.190883	radar	2182.38	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2843	2.3198	5.16542	0.374412	0.224596	lidar	6731.03	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4654	2.46228	5.0523	0.417196	0.266835	radar	2019.82	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7146	2.57968	5.08265	0.43401	0.270608	lidar	7538.28	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9345	2.69218	5.06118	0.451604	0.276556	radar	2308.12	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.163	2.84636	5.08657	0.483323	0.2972	lidar	8004.38	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4125	2.95587	5.154	0.486033	0.278234	radar	2564.17	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.619	3.03097	5.10157	0.48335	0.259528	lidar	8266.34	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8501	3.18291	5.16145	0.506042	0.267455	radar	2707.29	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
